label,group,method,session_id,queries,speedup,baseline_ttft_ms,method_ttft_ms,warm_page_queries,fallback_queries,full_hit_queries,partial_hit_queries,registered_pages,used_pages,residual_count_mean,read_amplification_mean,batch_dir,baseline_config,method_config
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0014,100,1.048476636351002,2277.2428131708875,2171.953798700124,7,93,0,7,8,4,9.63,1.3419999999999999,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0015,100,0.9980193907347206,2510.7018773676828,2515.6844653282315,0,100,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0001,100,2.1071452479059336,2529.328780840151,1200.3580594900995,77,23,4,73,93,43,4.75,4.5070000000000014,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0002,100,2.342823080496929,2531.284168707207,1080.4418779117987,76,24,14,62,77,43,4.12,4.416,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0003,100,2.119781442716416,2538.566754492931,1197.5606085313484,73,27,12,61,83,38,4.61,4.33,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0004,100,2.169391328285825,2531.2971383612603,1166.8236640188843,76,24,12,64,77,39,4.4,4.477000000000001,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0005,100,2.645880797560103,2533.318841638975,957.457661726512,80,20,16,64,79,40,3.62,4.6640000000000015,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0006,100,3.175965977969437,2302.7780470903963,725.0638272147626,75,25,46,29,32,17,2.93,4.296000000000001,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0007,100,6.827256804766038,2244.9955009808764,328.8283369410783,93,7,66,27,31,23,1.14,5.006000000000002,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,semantic,eventqa-scenario-0008,100,2.9762823506108393,2389.1580706229433,802.7323315385729,72,28,41,31,36,23,3.35,4.1800000000000015,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_011_exp1_eventqa_scale1_semantic_qwen3_embed_4b
